SubjectAndCode,Title,CourseId,Instructor,Days,Start,End,Location,Dates,Units,Enrollment
CSE 595,Continuing Registration (RSC),13944  ,Select instructor during enrollment,,,,Tempe - TBA,03/08 - 04/23(B) ,1,28 of 30 
CSE 598,Topic: Advances in Robot Learning,25146  ,Ben Amor,T Th ,3:00 PM ,4:15 PM ,Tempe - CAVC351,01/11 - 04/23(C) ,3,19 of 55 
CSE 598,Topic: Engineering Blockchain Applications,25145  ,Chakati,T Th ,12:00 PM ,1:15 PM ,Tempe - BYAC150,03/08 - 04/23(B) ,3,44 of 50 
CSE 598,Topic: Computational Social Choice,23498  ,Escobedo,T Th ,9:00 AM ,10:15 AM ,Tempe - BYENG209,01/11 - 04/23(C) ,3,22 of 30 
CSE 598,Topic: Quantum Computation,30662  ,Jiang,M W ,9:00 AM ,10:15 AM ,ASU Sync Only,01/11 - 04/23(C) ,3,100 of 116 
CSE 598,Topic: Perception in Robotics,24659  ,"Luo, Yang",M W ,3:00 PM ,4:15 PM ,Tempe - CAVC351,01/11 - 04/23(C) ,3,15 of 105 
CSE 598,Topic: Applied Vulnerability Research,25150  ,Shoshitaishvili,T ,12:00 PM ,2:45 PM ,Tempe - BYENGM1-09,01/11 - 04/23(C) ,3,27 of 46 
CSE 598,Topic: Secure Computation for Machine Learning,34295  ,Trieu,T Th ,4:30 PM ,5:45 PM ,Tempe - CDN68,01/11 - 04/23(C) ,3,65 of 85 
CSE 598,Topic: Data-Intensive Systems for Machine Learning,25151  ,Zou,T Th ,1:30 PM ,2:45 PM ,Tempe - CAVC351,01/11 - 04/23(C) ,3,62 of 100 
CSE 598,Topic: Software Integration and Engineering,19557,Chen,,,,Internet - Hybrid,,3,25 of 50
CSE 598,Topic: Foundations of Social Media Mining,36577,Chen,,,,Internet - Hybrid,,3,88 of 100
CSE 599,Thesis (RSC),11744  ,Select instructor during enrollment,,,,Tempe - TBA,01/11 - 04/23(C) ,6-Mar,16 of 69 
CSE 599,Thesis (RSC),14725  ,Select instructor during enrollment,,,,Tempe - TBA,03/08 - 04/23(B) ,6-Mar,25 of 30 
IEE 210,Intro Industrial Engineering,15631  ,Yauch,M W ,4:30 PM ,5:45 PM ,Tempe - PSF101,01/11 - 04/23(C) ,3,50 of 100 
IEE 220,Business/Industrial Engr,11298  ,Kucukozyigit,M W ,1:30 PM ,2:45 PM ,Tempe - LIBC10,01/11 - 04/23(C) ,3,6 of 100 
IEE 305,Information Systems Engr,13438  ,Fok,M W ,3:00 PM ,4:15 PM ,Tempe - SHESC340,01/11 - 04/23(C) ,3,44 of 100 
IEE 320,Extreme Excel,19014  ,McCarville,,,,iCourse,01/11 - 03/02(A) ,1,18 of 200 
IEE 321,Ethics&Technical Communication,21546  ,Starkey,W ,3:00 PM ,4:15 PM ,Internet - Hybrid,03/08 - 04/23,1,41 of 100 
IEE 369,Work Analysis and Design,11162  ,McCarville,M W ,9:00 AM ,10:15 AM ,Tempe - CAVC351,01/11 - 04/23(C) ,3,5 of 60 
IEE 369,Laboratory,23892  ,McCarville,F,9:00 AM,11:30 AM,Tempe - TBA,01/11 - 04/23,0,5 of 60 
IEE 376,Oper Rsrch Det Tech/Apps,11184  ,Sefair,M W ,1:30 PM ,2:45 PM ,Tempe - BYAC110,01/11 - 04/23(C) ,3,17 of 80 
IEE 380,Prob & Stats Engr Prob Solving,18584  ,Byeon,T Th ,6:00 PM ,7:15 PM ,ASU Sync Only,01/11 - 04/23(C) ,3,21 of 185 
IEE 380,Prob & Stats Engr Prob Solving,32109  ,Zhou,M W ,4:30 PM ,5:45 PM ,ASU Sync Only,01/11 - 04/23(C) ,3,5 of 185 
IEE 381,Lean Six Sigma Methodology,16381  ,Jennings,T Th ,3:00 PM ,4:15 PM ,ASU Sync Only,01/11 - 04/23(C) ,3,34 of 125 
IEE 385,Engr Statistics - Probability,15090  ,Chattin,T Th ,6:00 PM ,7:15 PM ,Tempe - LIBC12,01/11 - 04/23(C) ,3,50 of 100 
IEE 431,Engineering Administration,27284  ,Jennings,Sa ,9:00 AM ,11:30 AM ,Internet - Hybrid,03/08 - 04/23,3,2 of 50 
IEE 454,Risk Management,27209  ,Kucukozyigit,M,3:00 PM ,4:15 PM ,Internet - Hybrid,03/08 - 04/23,3,64 of 100 
